rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,fHadult,vHadult,pHadult,pHchild,rHadult,xH,alpha,fHchild,vHchild,rHchild,rmortTBH,p0
-0.12,-0.224524325,1.860296044,0.138232932,0.000119399,0.007771734,0.010750887,0.189339543,0.122724203,0.122724203,0.236790748,1.807393993,0.013571474,0.013571474,0.271892554,0.451354927,0.451354927,0.000174527,0.366446822,0.710417457,0.236790748,0.000174527,0.934201028,0.934201028,15.09022133,0.366446822,0.366611097,0.077792265,0.491103962,0.757677762,0.251080059,0.761869847,-0.193009228,0.112279104,0.053219867,0.14378154,0.24521718,13628.428
-0.12,-0.589287846,-0.019440062,0.112676652,0.000185447,0.01018144,0.012059132,0.116957138,0.121310999,0.121310999,0.18001356,1.517307482,0.00549035,0.00549035,0.409721204,0.603150423,0.603150423,0.000151239,0.134857356,0.725652491,0.18001356,0.000151239,1.467604861,1.467604861,11.00475529,0.134857356,0.399790512,0.040062496,0.318692207,0.30725432,0.400215415,0.900889242,-0.236212444,0.074686272,0.049124116,0.742169306,-0.594987675,13628.428
-0.12,-0.437266448,0.512321825,0.085413974,0.000133672,0.009527994,0.01094894,0.13957314,0.091140455,0.091140455,0.195378546,1.80113374,0.008868605,0.008868605,0.344907527,0.644228255,0.644228255,0.000227398,0.052066853,0.767405493,0.195378546,0.000227398,1.365072788,1.365072788,13.51628707,0.052066853,0.20857241,0.122646208,0.359361043,0.550328051,0.477634576,0.788353427,-0.296484313,0.02765324,0.072095519,0.513147124,-0.594000377,13628.428
-0.12,-0.369629067,1.330437952,0.104739245,0.000261488,0.007703284,0.016201125,0.115556405,0.081833885,0.081833885,0.243139966,1.407708637,0.007158292,0.007158292,0.311819284,0.489383925,0.489383925,0.000192871,0.48099125,0.577351329,0.243139966,0.000192871,0.641338788,0.641338788,18.7045032,0.48099125,0.28892104,0.045792182,0.422875355,0.597135964,0.551261508,0.819630796,-0.186516373,0.061835647,0.062083695,0.593231451,-0.035834966,13628.428
-0.12,-0.793793503,0.628705804,0.059690738,0.000108818,0.011610828,0.019692233,0.152078287,0.096428338,0.096428338,0.228772381,1.843948944,0.014148017,0.014148017,0.315799934,0.468673809,0.468673809,0.000108057,0.128853766,0.720760861,0.228772381,0.000108057,1.587854614,1.587854614,12.47322138,0.128853766,0.380491309,0.081902641,0.355026669,0.559916817,0.560560846,0.879649283,-0.460641904,0.048459732,0.082479675,0.460034492,-0.464758848,13628.428
-0.12,-0.22394977,1.590092378,0.091540049,0.00023855,0.009238852,0.007063131,0.128416738,0.10309646,0.10309646,0.11997867,1.344750462,0.012080356,0.012080356,0.309362413,0.450541775,0.450541775,0.000127097,0.509301469,0.709290662,0.11997867,0.000127097,0.822064119,0.822064119,15.37889668,0.509301469,0.383644881,0.150595032,0.38204032,0.475868633,0.423543173,0.886750405,-0.443891788,0.07794809,0.282653284,0.323918664,-0.034477358,13628.428
-0.12,-0.304068203,0.111679311,0.000179339,0.000258987,0.008690034,0.016697029,0.150153238,0.081781375,0.081781375,0.182540166,1.608303448,0.007454145,0.007454145,0.318590744,0.520492165,0.520492165,0.000113128,0.206259477,0.77272056,0.182540166,0.000113128,0.824343666,0.824343666,15.83680351,0.206259477,0.244725076,0.150449189,0.413550748,0.759292486,0.578434385,0.777731291,-0.403465135,8.43E-05,0.344427734,0.674338173,-0.003412688,13628.428
-0.12,0.342374567,1.070576459,0.095793687,0.000271901,0.010568789,0.018142989,0.188404957,0.081937197,0.081937197,0.199155502,1.025183253,0.010629619,0.010629619,0.254683755,0.663234829,0.663234829,0.000294004,0.833173863,0.50002373,0.199155502,0.000294004,0.450531776,0.450531776,15.04770994,0.833173863,0.38261191,0.160714811,0.346652533,0.797086769,0.289164588,0.743402218,-0.362071351,0.055262185,0.148632542,0.287509806,0.690406646,13628.428
-0.12,-0.640928464,-0.360301572,0.099226342,0.000178272,0.008774584,0.017587698,0.161293099,0.11359202,0.11359202,0.172079867,1.770448659,0.012428645,0.012428645,0.263523898,0.308031594,0.308031594,0.000161316,0.264705793,0.728197569,0.172079867,0.000161316,1.741679328,1.741679328,17.07328568,0.264705793,0.282809494,0.110666988,0.365096098,0.518412132,0.234140523,0.970137755,-0.163089729,0.091101537,0.122299384,0.165302478,-0.468145979,13628.428
-0.12,0.454103336,-0.452428544,0.064389291,0.000160797,0.005060925,0.008409163,0.15758531,0.0822006,0.0822006,0.21538598,1.170998755,0.010912485,0.010912485,0.314387431,0.515641162,0.515641162,0.000296014,0.181628836,0.722724715,0.21538598,0.000296014,0.309663113,0.309663113,14.51409568,0.181628836,0.261919608,0.071866334,0.47341782,0.907580892,0.583347924,0.535338189,-0.429920863,0.032706501,0.0390384,0.27054148,0.760222495,13628.428
-0.12,-0.571542686,1.000518335,0.011998828,0.000261649,0.011384519,0.010746763,0.1677693,0.090169704,0.090169704,0.126669107,1.439876651,0.013392751,0.013392751,0.310079023,0.324629065,0.324629065,0.00010474,0.494139698,0.679205305,0.126669107,0.00010474,1.347862567,1.347862567,19.32531039,0.494139698,0.245830211,0.081951517,0.453434839,0.843658591,0.539402483,0.702356106,-0.046763884,0.009086292,0.204721508,0.458519522,-0.340017134,13628.428
-0.12,-0.684582913,0.9693089,0.125238507,0.000247042,0.007544671,0.014952103,0.134852827,0.130392158,0.130392158,0.218278656,1.906717323,0.005617608,0.005617608,0.264086541,0.379321489,0.379321489,0.000292739,0.109988779,0.758457976,0.218278656,0.000292739,0.978325288,0.978325288,11.39063489,0.109988779,0.378675676,0.058010925,0.474267468,0.490491987,0.335565266,0.630082163,-0.260873176,0.125025283,0.048955344,0.450677529,-0.270074606,13628.428
-0.12,-0.345954716,0.349653797,0.002845328,0.000289213,0.008391403,0.008998628,0.193412088,0.100917825,0.100917825,0.213384518,0.991670317,0.00897101,0.00897101,0.296082777,0.482779896,0.482779896,0.000253971,0.276074353,0.682141019,0.213384518,0.000253971,0.973392155,0.973392155,16.55527478,0.276074353,0.328075646,0.0942043,0.33420323,0.640510678,0.202044062,0.961930625,-0.276951482,0.001933558,0.107276421,0.188990224,-0.29810411,13628.428
-0.12,-0.353166508,0.029161817,0.043657681,0.000254953,0.01035331,0.011331723,0.145215386,0.096213101,0.096213101,0.104522928,1.103955228,0.013495424,0.013495424,0.290262704,0.411598363,0.411598363,0.000287614,0.304033341,0.676680859,0.104522928,0.000287614,0.959638726,0.959638726,12.69455953,0.304033341,0.395307157,0.130598099,0.478368316,0.722006039,0.24950864,0.730235679,-0.09922268,0.041929695,0.115767404,0.191416027,-0.08816638,13628.428
-0.12,-0.041617122,-0.404238098,0.142556522,0.000290569,0.012145045,0.016601997,0.172883623,0.146668809,0.146668809,0.204581393,1.597996413,0.010792209,0.010792209,0.351721673,0.290251431,0.290251431,0.000266044,0.102987996,0.72970116,0.204581393,0.000266044,0.688962744,0.688962744,14.70955567,0.102987996,0.227500919,0.070679186,0.396546733,0.467423418,0.466632788,0.537069744,-0.045361834,0.111736709,0.077194888,0.525126623,0.163843642,13628.428
-0.12,-0.38869942,1.283849757,0.116621499,0.000157967,0.011951661,0.01322325,0.157350178,0.107663879,0.107663879,0.21431004,1.350314984,0.013415276,0.013415276,0.258630566,0.690324822,0.690324822,0.000203289,0.092050272,0.700034147,0.21431004,0.000203289,1.334468317,1.334468317,11.58561941,0.092050272,0.375290694,0.154227145,0.490444237,0.716781609,0.278935073,0.568479979,-0.496957798,0.063400536,0.119843068,0.24850309,-0.628430803,13628.428
-0.12,0.08405911,1.23652868,0.103161992,0.000213888,0.011788136,0.018376015,0.148654293,0.125681297,0.125681297,0.222148257,1.761745784,0.009617863,0.009617863,0.319318954,0.362408157,0.362408157,0.000287299,0.447293724,0.499985948,0.222148257,0.000287299,0.479584362,0.479584362,17.22391582,0.447293724,0.295567197,0.070418944,0.401863598,0.47531932,0.205591271,0.797130952,-0.204250756,0.084135249,0.052425497,0.251982997,0.189152093,13628.428
-0.12,-0.512728737,1.360570183,0.121252333,0.000190993,0.006621459,0.01004864,0.129819262,0.121364687,0.121364687,0.213141302,1.564588083,0.01476138,0.01476138,0.264903702,0.552806284,0.552806284,0.000246869,-0.017991354,0.766334534,0.213141302,0.000246869,1.370035753,1.370035753,10.79072143,-0.017991354,0.397488192,0.097851236,0.309574038,0.331139759,0.403190951,0.907097889,-0.315598602,0.087184918,0.075703604,0.180857924,-0.54905548,13628.428